"identifiant","nom_officiel","adresse","lieu","code_postal","ville","region","departement","domaine_thematique","histoire","atout","interet","annee_creation","coordonnees","idmuseofile","annee","payant","gratuit","total","individuel","scolaires","groupes_hors_scolaires","moins_18_ans_hors_scolaires","_18_25_ans"
"M0002","musée de La Poterie","2 rue de Kuhlendorf","","67660","Betschdorf","Grand Est","Bas-Rhin","Arts décoratifs,Technique et industrie,Ethnologie"," Fondé en 1981, le musée de la Poterie de Betschdorf est géré par l'Association des amis du musée. Il conserve des collections allant du XVIIe au XXe siècles, ainsi que des productions de potiers actuels. De nombreux dépôts ont été effectués par des musées strasbourgeois (musées alsacien et de l'OEuvre Notre-Dame).","""Riche collection de poteries de grès au sel, la couleur dominante étant le gris et bleu typique de Betschdorf : poterie vernissée à Soufflenheim, poterie de grès de Betschdorf, anciens centres potiers d'Alsace et de Rhénanie.  Informations sur les techniques et les hommes : de véritables dynasties de potiers ont animé la scène et transmis leur savoir-faire jusqu'à nos jours""","Maison à pans de bois du début du XVIIIe siècle.","1981","48.900348, 7.914409","M0002","2023","2648","511","3159","2756","152","251","",""
"M0008","maison de l'archéologie des Vosges du Nord","44 avenue Foch","","67110","Niederbronn-Les-Bains","Grand Est","Bas-Rhin","Archéologie,Technique et industrie","Les collections sont constituées de fonds anciens et de dons (M. Malye, Mathis et Engleder), d'achats (M. Wolff), de fouilles anciennes (M. Erian, années 1970, et Schellmanns, années 1970 et 1980) et récentes (M. Prévost-Boure, années 1990) et de dépôts plus récents provenant des châteaux forts du Schoeneck et du Windstein.","Panorama complet des recherches archéologiques dans le nord de l'Alsace, de la préhistoire à l'archéologie industrielle.   Jadis renommé pour ses collections gallo-romaines qui proviennent de la cité thermale, le musée devient un haut lieu de l’archéologie médiévale grâce au travail des bénévoles qui, depuis plus de dix ans, relèvent le Schoeneck, un des nombreux châteaux-forts des Vosges du Nord, de ses ruines.  Une belle collection de poêles rappelle l’aventure industrielle des Dietrich, maîtres de forges.","Famille Dietrich.","","11/04/2025","M0008","2023","978","529","1507","804","571","132","648",""
"M0012","musée du Château des Rohan","place du général de Gaulle","château des Rohan","67700","Saverne","Grand Est","Bas-Rhin","Archéologie,Arts décoratifs,Beaux-arts,Histoire,Photographie,Sciences de la nature,Ethnologie","Le musée a été créé en 1858 pour abriter les vestiges archéologiques découverts dans les environs de Saverne. Des collections d'art et d'histoire ont été acquises par la suite. Entre 1952 et 1966 le musée a reçu plusieurs donations de tableaux du peintre Alfred Roll. En 1983, la journaliste Louise Weiss a légué ses collections au musée (peintures et dessins du XXe siècle, mobilier XIXe et XXe siècles, documents historiques, collections ethnographiques).","""Importante collection lapidaire gallo-romaine "," Peintures des XIXe et XXe siècles ","Art religieux (Art chrétien)","Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture","M0012","2023","6457","6071","12528","10292","1850","386","1807",""
"M0014","musée Alsacien","23 quai Saint-Nicolas","","67000","Strasbourg","Grand Est","Bas-Rhin","Arts décoratifs,Ethnologie,Histoire,Technique et industrie","En 1902 est fondée la Société du musée alsacien (SARL) qui bénéficia de nombreux dons de particuliers et effectua des achats dans les villages, acquisitions malheureusement non documentées. Le musée ouvre en 1907 avec des reconstitutions d'intérieurs. Durant la Première Guerre mondiale, il est mis sous séquestre, puis repris par la Ville.","""Comme la plupart des musées fondés il y a plus d'un siècle, le musée Alsacien a acquis essentiellement de beaux objets, décorés et en bon état. Il donne ainsi de l'Alsace la vision embellie d'une région uniformément cossue. La plupart des pièces constituant le fonds du musée proviennent du Bas-Rhin, département où l'industrialisation fut plus tardive. L'essentiel des collections date de la période que l'on pourrait qualifier d'âge d'or du monde rural et de la culture traditionnelle, la période allant de 1750 à 1860 environ.  Deux grands thèmes sont représentés dans le musée, et ce depuis son origine : l'intérieur paysan et les croyances. Celles-ci constitue le point fort des collections. De nombreuses pièces sont consacrées aux trois religions présentes traditionnellement en Alsace (Catholicisme, Protestantisme et Judaïsme), mais également aux superstitions.  Les reconstitutions qui ponctuent le parcours de visite, dont la majorité remontent à la création du musée, participent pleinement du charme de la visite.""","""Charles Spindler (1865-1938) ","Site patrimonial remarquable.  Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.","SPR4400040""","M0014","2023","40562","35696","76258","","0","0","",""
"M0015","musée archéologique","2 place du château","palais Rohan Strasbourg Cedex","67000","Strasbourg","Grand Est","Bas-Rhin","Archéologie","""Création en 1855 par la Société pour la conservation des Monuments historiques d'Alsace (SCMHA) ","  1870 : destruction complète lors de la Guerre franco-prussienne "," 1946 à 1981 : gestion par Jean-Jacques Hatt, directeur des Antiquités historiques d'Alsace et professeur à l'Université de Strasbourg : nombreuses fouilles à Strasbourg et sites romains régionaux et enrichissement important des collections gallo-romaines "," très importante section gallo-romaine ","""Antiquités étrangères : Grecques et romaines, Egyptiennes, Orientales","M0015","2023","13807","46097","59904","53763","5014","1127","",""
"M0020","musée historique","2 rue du vieux marché aux poissons","musée historique","67000","Strasbourg","Grand Est","Bas-Rhin","Archéologie,Arts décoratifs,Histoire,Militaria","En 1919, un appel est lancé auprès des Strasbourgeois et des achats sont effectués. De 1935 à 2018, les collections se sont enrichies grâce à des donations (principalement) et à des achats.","Logé depuis 1920 dans l'Ancienne Boucherie (1587), le musée a pour mission d'évoquer l'histoire du cadre urbain ainsi que l'histoire politique, économique et sociale de Strasbourg, au moyen de maquettes dont le plan - relief de 1725- 1727 (la ville est reproduite au 1/600e), d'un ensemble de peintures, de dessins, de gravures et de lithographies, d'une collection d'objets militaires (armes et uniformes de 1500 à 1945), d'objets très divers allant du chef-d'œuvre corporatif aux souvenirs de grands hommes, par exemple le général Kléber, ou de simples citoyens (costumes, mobilier, etc.) et de collections archéologiques allant du moyen âge au XVIIIe siècle.","","Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.","SPR4400040""","M0020","2023","28193","36868","65061","55423","7572","2066","2014","518"
"M0028","musée d'Unterlinden","place Unterlinden","","68000","Colmar","Grand Est","Haut-Rhin","Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Histoire,Photographie","Louis Hugot (1805-1864), fondateur de la société Schongauer, installe la mosaïque romaine découverte à Bergheim dans le musée d'Unterlinden qui ouvre ses portes en 1853. A cette mosaïque s'ajoute le fonds du séquestre révolutionnaire (sculptures et peintures provenant des établissements religieux de la région avec notamment le retable d'Issenheim).","Art rhénan de la fin du Moyen Age et de la Renaissance, retable d'Issenheim. Salle d'archéologie. Arts décoratifs. Arts et traditions populaires. Art moderne.","Arts décoratifs : orfèvrerie, étain, céramique, mobilier","Histoire : histoire locale et régionale","Nicolas de Haguenau-Grünewald, Martin Schongauer, Lucas Cranach","M0028","2023","140447","42620","183067","149348","10617","23102","10651","6615"
"M0029","musée Théodore Deck et des pays du Florival","1 rue du quatre février","maison canoniale dite « le Doyenné »","68500","Guebwiller","Grand Est","Haut-Rhin","Arts décoratifs,Histoire","Le Musée du Florival est créé par la Société d'histoire et du musée du Florival en 1933 et il est installé dans une partie des locaux de l'école de garçons de la ville haute (aujourd'hui, école Emile Storck). Lors de la Deuxième Guerre mondiale, le musée est fermé et les collections sont mises à l'abri. De 1950 à 1981 le musée prend place au premier étage du chœur de l'église des Dominicains. Depuis le 19 mai 1984, le musée se trouve dans l'ancienne maison du Grand Doyenné.  Les collections se sont constituées en premier lieu de documents d'histoire locale et de cinq céramiques de Théodore Deck. En parallèle des acquisitions liées à la collection historique locale, de 1953 à 1975, 34 faïences de Théodore Deck ont été acquises. La collection Deck s'est agrémentée au fil d'achats, mais également par une donation de plus de deux cents pièces en 2002 par le couple Bloch-Angly. Elle est également agrémentée du dépôt d'un particulier, depuis 2006, de 124 pièces signées Théodore Deck.","Le musée présente aujourd'hui sur deux niveaux une collection de céramiques de Théodore Deck, natif de Guebwiller, et qui termina sa carrière comme directeur de la Manufacture de Sèvres.  Le musée présente également des collections minéralogiques, archéologiques et lapidaires de la région de Guebwiller.  Un étage est dédié aux expositions temporaires.  Le dernier niveau présente Guebwiller au XIXe siècle autour de l'industrie et de la viticulture.","Beaux-Arts : Sculpture (du XVe au XIXe siècles)","Demeure canoniale du Grand Doyenné construit au XVIIIe siècle, entièrement construit en grès rose.","Abords d'un Monument historique.","M0029","2023","3289","5877","9166","7946","404","816","376","125"
"M0034","musée Historique","place de la réunion","","68100","Mulhouse","Grand Est","Haut-Rhin","Archéologie,Ethnologie,Histoire","""La naissance du musée est liée aux premières fouilles archéologiques (1858) et aux destructions urbaines dues à la croissance industrielle. Frédéric Engel-Dollfus, vice-président de la Société Industrielle et grand collectionneur, pilote le projet de création du Musée historique. Une commission se met en place en 1864 pour solliciter la générosité des donateurs et inventorier la collection. Une convention est signée avec la Ville en 1872, puis les statuts du Musée sont adoptés l’année suivante. Enfin le Musée historique, installé provisoirement à l’Ecole de dessin, ouvre le 11 novembre 1874. Les collections se composent alors de 664 objets "," elles en comptent aujourd’hui plusieurs dizaines de milliers. En 1882, le musée est transféré dans un nouveau bâtiment construit par la Société Industrielle pour abriter l’ensemble des collections mulhousiennes (aujourd’hui Musée de l’Impression sur étoffes). En 1937, le musée est transféré Villa Steinbach (actuel Musée des Beaux-Arts), avant d'être installé en 1969 dans l’ancien hôtel de ville de Mulhouse. Entretemps deux dates méritent attention :  - en 1876 paraît le premier numéro du Bulletin du Musée Historique ","Archéologie nationale : Préhistoire, Protohistoire","Ethnologie : Costume, Habitat, Pratiques religieuses et collectives","Daniel Hofer.","M0034","2023","0","32119","32119","27381","2467","2271","",""
"M0050","Château de Bourdeilles","","","24310","Bourdeilles","Nouvelle-Aquitaine","Dordogne","Beaux-Arts","Le château a été restauré jusqu'en 1972 par un couple de mécènes qui lèguent à la ville leur collection mobilière.","Mobilier du XV- XIXe siècles. Objets d'art. Armes, sculptures.  Tapisseries et coffres du XVIe - XVIIe siècles. Prestigieuse collection mobilière de près de 700 éléments dont des tables, des crédences, des tapisseries, des fauteuils, des étains, etc. installée dans des salons d’apparat.","Les premières traces des châteaux de Bourdeilles remontent au XIIe siècle. L'ensemble comprend une forteresse médiévale du XIIIe siècle et son impressionnant donjon de 40 mètres de haut, et un élégant logis de la Renaissance.","","45.321359, 0.586014","M0050","2023","33299","3295","36594","6357","62","390","0","0"
